DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
221111075,7/2/2022,12/1/2021,1340,Northeast,THEFT OF IDENTITY,30,F,H,,Invest Cont,200 S  AVE 54
220320050,11/10/2022,11/27/2021,1300,Southwest,CRIMINAL THREATS - NO WEAPON DISPLAYED,26,F,B,VERBAL THREAT,Adult Other,2700 S  PALM GROVE                   AV
221115133,10/16/2022,10/1/2021,1200,Northeast,BURGLARY,66,F,W,,Invest Cont,2800    LOS FELIZ                    BL
230606530,2/17/2023,9/17/2021,625,Hollywood,THEFT OF IDENTITY,45,M,W,,Invest Cont,6700    YUCCA                        ST
231508494,4/18/2023,5/6/2021,1005,N Hollywood,THEFT OF IDENTITY,33,F,W,,Invest Cont,6200    BLUEBELL                     AV
220813029,7/31/2022,7/29/2021,2300,West LA,BURGLARY FROM VEHICLE,28,F,W,,Invest Cont,11800    GOSHEN                       AV
221713903,6/27/2022,7/27/2021,755,Devonshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",62,M,B,,Invest Cont,9700    WOODLEY                      AV
221615199,12/16/2022,12/18/2021,1800,Foothill,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),6,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,13900    VAUGHN                       ST
220816588,11/9/2022,12/17/2021,2200,West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",55,M,W,,Invest Cont,MISSISSIPPI                  AV
231208833,3/22/2023,7/1/2021,1200,77th Street,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),6,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,800 E  76TH                         ST
221918239,12/21/2022,12/20/2021,1155,Mission,"BUNCO, GRAND THEFT",21,F,W,,Invest Cont,13900    HERRON                       ST
220911296,7/11/2022,11/10/2021,930,Van Nuys,THEFT OF IDENTITY,31,M,B,,Invest Cont,14300    EMELITA                      ST
220510586,6/24/2022,10/18/2021,1430,Harbor,BIKE - STOLEN,31,M,B,,Invest Cont,1100 S  GRAND                        AV
230804968,1/16/2023,2/1/2021,1055,West LA,THEFT OF IDENTITY,44,M,W,,Invest Cont,11700    DARLINGTON                   AV
221212970,6/1/2022,3/1/2021,1700,77th Street,"BUNCO, PETTY THEFT",46,M,B,,Invest Cont,1700 W  FLORENCE                     AV
231504761,1/19/2023,10/2/2021,1200,N Hollywood,"BUNCO, GRAND THEFT",76,M,W,,Invest Cont,5300    CLEON                        AV
231809643,4/27/2023,9/22/2021,1315,Southeast,VANDALISM - MISDEAMEANOR ($399 OR UNDER),47,M,B,,Invest Cont,10500 S  CENTRAL                      AV
221913547,8/23/2022,2/1/2021,1,Mission,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",44,M,O,,Invest Cont,8800    TOBIAS                       AV
220121883,10/5/2022,11/28/2021,1100,Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",50,M,O,,Invest Cont,600 N  HILL                         ST
221313868,7/3/2022,8/14/2021,1330,Newton,THEFT OF IDENTITY,31,M,H,,Invest Cont,300 W  60TH                         ST
221116461,9/29/2022,6/16/2021,1,Northeast,STALKING,36,F,W,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,1200 N  AVENUE 50
210510141,8/18/2022,6/7/2021,500,Harbor,CRIMINAL HOMICIDE,53,M,B,UNKNOWN TYPE CUTTING INSTRUMENT,Adult Arrest,1000    GOODRICH                     AV
231204619,1/11/2023,10/1/2021,1200,77th Street,"BUNCO, GRAND THEFT",51,F,H,,Invest Cont,1600 W  51ST                         ST
230505866,2/20/2023,2/1/2021,1200,Harbor,VEHICLE - STOLEN,0,,,,Invest Cont,600    SANFORD                      AV
231410080,5/9/2023,9/16/2021,1900,Pacific,THEFT OF IDENTITY,41,F,W,,Invest Cont,1000    NOWITA                       PL
