DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Weapon Desc,Status Desc,LOCATION
221412410,6/15/2022,11/12/2020,1700,Pacific,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,13600    MARINA POINT                 DR
220314085,7/22/2022,5/12/2020,1110,Southwest,THEFT OF IDENTITY,27,F,B,,Invest Cont,2500 S  SYCAMORE                     AV
222013040,8/6/2022,6/4/2020,1620,Olympic,THEFT OF IDENTITY,60,M,H,,Invest Cont,3300    SAN MARINO                   ST
220614831,8/18/2022,8/17/2020,1200,Hollywood,THEFT OF IDENTITY,28,M,H,,Invest Cont,1900    TRANSIENT
231207725,2/27/2023,1/27/2020,635,77th Street,THEFT OF IDENTITY,37,M,H,,Invest Cont,6200    4TH                          AV
220213256,7/14/2022,7/14/2020,900,Rampart,THEFT OF IDENTITY,79,M,B,,Invest Cont,1200 W  7TH                          ST
221216052,7/7/2022,2/23/2020,1000,77th Street,THEFT OF IDENTITY,28,F,B,,Invest Cont,500 W  75TH                         ST
221515929,10/10/2022,4/1/2020,1200,N Hollywood,THEFT OF IDENTITY,33,M,W,,Invest Cont,5700    CARTWRIGHT                   AV
231906599,3/3/2023,1/14/2020,1335,Mission,THEFT OF IDENTITY,35,M,O,,Invest Cont,14500    WILLOWGREEN                  LN
231207476,2/27/2023,8/15/2020,1,77th Street,BURGLARY,72,M,B,,Invest Cont,8800    HAAS                         AV
231506571,3/3/2023,7/15/2020,1700,N Hollywood,OTHER MISCELLANEOUS CRIME,21,F,W,VERBAL THREAT,Invest Cont,12300    EMELITA                      ST
230506149,2/28/2023,7/1/2020,1200,Harbor,VEHICLE - STOLEN,0,,,,Invest Cont,SANFORD
221711184,6/15/2022,5/15/2020,155,Devonshire,THEFT OF IDENTITY,27,M,B,,Invest Cont,8300    WHITE OAK                    AV
220215983,9/6/2022,5/26/2020,1200,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,200 S  CORONADO                     ST
220119956,9/6/2022,7/1/2020,1130,Central,THEFT OF IDENTITY,22,F,B,,Invest Cont,800 S  HOPE                         ST
221516944,11/3/2022,6/1/2020,1200,N Hollywood,THEFT OF IDENTITY,59,M,O,,Invest Cont,6700    BAKMAN                       AV
220712955,8/16/2022,11/8/2020,1005,Wilshire,THEFT PLAIN - PETTY ($950 & UNDER),59,F,O,,Invest Cont,100 S  FLORES                       ST
221913440,8/20/2022,4/17/2020,955,Mission,THEFT OF IDENTITY,78,F,W,,Invest Cont,15200    COBALT                       ST
231207740,2/17/2023,2/17/2020,1240,77th Street,THEFT OF IDENTITY,52,M,O,,Invest Cont,700 E  80TH                         ST
220316688,9/12/2022,9/11/2020,2100,Southwest,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27,F,O,,Invest Cont,1300 W  37TH                         DR
221312369,6/3/2022,12/10/2020,700,Newton,THEFT OF IDENTITY,33,M,H,,Invest Cont,2700 S  CENTRAL                      AV
221912723,8/2/2022,11/1/2020,1100,Mission,DOCUMENT FORGERY / STOLEN FELONY,56,F,H,,Invest Cont,8900    BURNET                       AV
220120619,9/16/2022,9/15/2020,1541,Central,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",26,M,H,,Invest Cont,900 S  MAIN                         ST
221216517,7/14/2022,1/1/2020,1200,77th Street,HUMAN TRAFFICKING - INVOLUNTARY SERVITUDE,22,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,FIGUEROA
221513146,8/6/2022,4/20/2020,1200,N Hollywood,VEHICLE - STOLEN,0,,,,Invest Cont,12200    SHERMAN                      WY
220214438,8/8/2022,8/1/2020,900,Rampart,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,700    PARKMAN                      AV
221110658,6/21/2022,2/28/2020,1625,Northeast,THEFT OF IDENTITY,39,M,C,,Invest Cont,3600    TRACY                        ST
221511470,6/22/2022,7/11/2020,1200,N Hollywood,THEFT OF IDENTITY,63,M,W,,Invest Cont,12600    OTSEGO                       ST
231207678,3/2/2023,5/1/2020,600,77th Street,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,7600 S  FIGUEROA                     ST
220911866,7/26/2022,2/1/2020,505,Van Nuys,THEFT OF IDENTITY,34,F,W,,Invest Cont,15200    LA MAIDA                     ST
220321807,12/13/2022,5/17/2020,1620,Southwest,THEFT OF IDENTITY,50,M,B,,Invest Cont,1400 W  25TH                         ST
220411016,7/18/2022,6/22/2020,1300,Hollenbeck,BURGLARY,68,M,H,,Invest Cont,4800    VALLEY                       BL
222017787,11/30/2022,1/1/2020,1200,Olympic,ORAL COPULATION,12,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,1100    ARAPAHOE                     ST
221718084,12/20/2022,12/2/2020,1510,Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),15,F,H,,Invest Cont,9300    TAMPA                        AV
220116036,6/17/2022,3/23/2020,1200,Central,THEFT OF IDENTITY,48,M,B,,Invest Cont,100 E  3RD                          ST
221713038,8/31/2022,3/10/2020,1800,Devonshire,"BUNCO, GRAND THEFT",32,M,O,,Invest Cont,18400    PLUMMER                      ST
221314362,7/11/2022,4/7/2020,1,Newton,THEFT OF IDENTITY,53,F,H,,Invest Cont,1600 E  OLYMPIC                      BL
231006256,2/27/2023,6/2/2020,1916,West Valley,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",50,M,O,,Adult Other,16200    VENTURA                      BL
221011819,7/20/2022,7/19/2020,1800,West Valley,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),80,F,K,,Invest Cont,18400    INGOMAR                      ST
231307252,3/3/2023,7/5/2020,2305,Newton,THEFT OF IDENTITY,22,F,B,,Invest Cont,6600 S  BROADWAY
221110416,6/14/2022,10/24/2020,955,Northeast,THEFT OF IDENTITY,37,M,O,,Invest Cont,3900    GLENFELIZ                    BL
220313293,7/6/2022,6/30/2020,1400,Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,VERMONT                      AV
221614254,11/13/2022,1/1/2020,1,Foothill,THEFT OF IDENTITY,22,F,H,,Invest Cont,10200    TELFAIR                      AV
230706782,3/1/2023,7/12/2020,1925,Wilshire,THEFT OF IDENTITY,47,F,W,,Invest Cont,100 S  POINSETTIA                   PL
220214942,8/11/2022,1/1/2020,1030,Rampart,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),43,M,V,,Invest Cont,1500 W  OLYMPIC                      BL
220710510,6/16/2022,7/1/2020,1,Wilshire,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",19,X,X,,Invest Cont,6100    WILSHIRE                     BL
220114107,6/13/2022,2/25/2020,1,Central,THEFT OF IDENTITY,23,M,B,,Invest Cont,600 S  MAIN                         ST
220910623,6/21/2022,11/19/2020,1,Van Nuys,THEFT OF IDENTITY,53,F,W,,Invest Cont,6300    MORSE                        AV
221510639,6/5/2022,1/24/2020,1415,N Hollywood,THEFT OF IDENTITY,58,M,H,,Invest Cont,5500    STROHM                       AV
220113458,6/2/2022,5/29/2020,611,Central,THEFT OF IDENTITY,38,M,B,,Invest Cont,500 E  6TH                          ST
221213066,6/3/2022,12/1/2020,1400,77th Street,TRESPASSING,34,F,B,PHYSICAL PRESENCE,Invest Cont,1100 W  49TH                         ST
220113408,6/1/2022,9/2/2020,1200,Central,THEFT OF IDENTITY,30,F,B,,Invest Cont,600 S  SANTA FE                     AV
221910282,6/2/2022,6/1/2020,1200,Mission,THEFT OF IDENTITY,23,F,W,,Invest Cont,15300    RAYEN                        ST
222110021,6/2/2022,1/1/2020,1,Topanga,THEFT OF IDENTITY,25,F,B,,Invest Cont,23100    AVENUE SAN LUIS
220211247,6/2/2022,7/15/2020,1230,Rampart,THEFT OF IDENTITY,38,F,B,,Invest Cont,1200 W  8TH                          ST
220710105,6/6/2022,7/1/2020,745,Wilshire,THEFT OF IDENTITY,70,M,W,,Invest Cont,1100 S  RIDGELEY                     DR
220911160,7/6/2022,3/1/2020,1000,Van Nuys,THEFT OF IDENTITY,59,M,O,,Invest Cont,6400    VAN NUYS                     BL
221511143,6/15/2022,11/19/2020,719,N Hollywood,THEFT OF IDENTITY,54,F,H,,Invest Cont,5300    CORTEEN                      PL
221609445,6/13/2022,1/1/2020,1200,Foothill,THEFT OF IDENTITY,61,M,W,,Invest Cont,11600    SHELDON                      ST
220611751,6/14/2022,3/1/2020,800,Hollywood,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",46,M,W,,Invest Cont,2100    PONET                        DR
221511140,6/14/2022,1/1/2020,1235,N Hollywood,THEFT OF IDENTITY,87,M,W,,Invest Cont,11300    OTSEGO                       ST
222110428,6/11/2022,6/11/2020,1700,Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,35,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,SHERMAN                      WY
221812809,6/17/2022,5/17/2020,1,Southeast,THEFT OF IDENTITY,38,M,B,,Invest Cont,200 E  LANZIT                       AV
221213894,6/15/2022,11/1/2020,1200,77th Street,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",24,M,H,,Invest Cont,700 E  79TH                         ST
220810626,6/11/2022,6/11/2020,210,West LA,BURGLARY,0,X,X,HAMMER,Invest Cont,11100    TENNESSEE                    AV
221010466,6/14/2022,7/7/2020,1,West Valley,THEFT OF IDENTITY,55,M,H,,Invest Cont,18500    ERWIN                        ST
221911806,7/10/2022,3/25/2020,1,Mission,THEFT OF IDENTITY,31,M,H,,Invest Cont,13800    RAYEN                        ST
221413552,6/24/2022,3/18/2020,2330,Pacific,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),27,F,C,,Invest Cont,S  SEPULVEDA                    BL
222111399,7/7/2022,8/21/2020,1,Topanga,VIOLATION OF RESTRAINING ORDER,26,F,H,,Adult Arrest,20200    HARTLAND                     ST
220911156,7/6/2022,1/1/2020,1,Van Nuys,BURGLARY,64,F,W,,Invest Cont,15300    HATTERAS                     ST
221215139,6/27/2022,9/25/2020,945,77th Street,THEFT OF IDENTITY,22,F,O,,Invest Cont,7800 S  NORMANDIE                    AV
222012073,7/5/2022,6/10/2020,10,Olympic,"BUNCO, GRAND THEFT",45,M,A,,Invest Cont,1800 S  WESTERN                      AV
222111393,7/6/2022,1/1/2020,1,Topanga,THEFT OF IDENTITY,43,M,B,,Invest Cont,24600    STAGG                        ST
222012456,7/19/2022,1/1/2020,1230,Olympic,THEFT OF IDENTITY,11,M,H,,Invest Cont,1300    MAGNOLIA                     AV
221011732,7/18/2022,7/1/2020,1200,West Valley,THEFT OF IDENTITY,83,F,O,,Invest Cont,6500    RESEDA                       BL
220911563,7/14/2022,9/3/2020,1,Van Nuys,THEFT OF IDENTITY,33,F,B,,Invest Cont,14300    SYLVAN                       ST
221216200,7/11/2022,9/1/2020,1235,77th Street,THEFT OF IDENTITY,65,F,B,,Invest Cont,7300 S  DENKER                       AV
220613587,7/23/2022,10/24/2020,1,Hollywood,THEFT OF IDENTITY,27,M,O,,Invest Cont,6200 W  SUNSET                       BL
221912349,7/11/2022,10/14/2020,1010,Mission,THEFT OF IDENTITY,55,F,F,,Invest Cont,14600    TUNDRA                       DR
221912361,7/24/2022,2/24/2020,1200,Mission,THEFT OF IDENTITY,42,M,B,,Invest Cont,8500    COLUMBUS                     AV
221011912,7/22/2022,11/1/2020,1,West Valley,THEFT OF IDENTITY,76,M,O,,Invest Cont,6500    RESEDA                       BL
221512570,7/18/2022,10/27/2020,1615,N Hollywood,THEFT OF IDENTITY,52,M,W,,Invest Cont,5100    BAKMAN                       AV
221512634,7/22/2022,11/1/2020,1200,N Hollywood,THEFT OF IDENTITY,47,F,B,,Invest Cont,11200    PEACH GROVE                  ST
221216017,7/5/2022,3/2/2020,1,77th Street,THEFT OF IDENTITY,42,M,H,,Invest Cont,1500 W  52ND                         ST
221216190,7/12/2022,8/13/2020,100,77th Street,THEFT OF IDENTITY,51,F,B,,Invest Cont,4600 S  WESTERN                      AV
221011873,7/21/2022,11/1/2020,1200,West Valley,THEFT OF IDENTITY,76,M,O,,Invest Cont,6500    RESEDA                       BL
220314618,8/3/2022,3/10/2020,1,Southwest,THEFT OF IDENTITY,71,F,B,,Invest Cont,4100    GARTHWAITE                   AV
220813413,8/17/2022,3/17/2020,1555,West LA,THEFT OF IDENTITY,56,M,A,,Invest Cont,1500 S  BUNDY                        DR
222113244,8/19/2022,1/20/2020,1,Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,VANOWEN
221218085,8/8/2022,1/1/2020,1200,77th Street,THEFT OF IDENTITY,42,M,O,,Invest Cont,10500 S  MANHATTAN                    PL
222112528,8/2/2022,11/11/2020,1455,Topanga,THEFT OF IDENTITY,23,M,O,,Invest Cont,5300    DE ROJA                      AV
221611162,8/6/2022,7/26/2020,1,Foothill,THEFT OF IDENTITY,36,M,H,,Invest Cont,11100    LULL                         ST
220512024,8/1/2022,8/11/2020,1200,Harbor,THEFT OF IDENTITY,35,M,B,,Invest Cont,1600 W  PACIFIC COAST                HY
221217989,8/19/2022,4/27/2020,1200,77th Street,"BUNCO, GRAND THEFT",54,M,B,,Invest Cont,1000 W  67TH                         ST
221217696,8/13/2022,12/1/2020,1605,77th Street,THEFT OF IDENTITY,56,M,H,,Invest Cont,100 E  73RD                         ST
220315466,8/21/2022,8/20/2020,1330,Southwest,BURGLARY FROM VEHICLE,29,F,H,,Invest Cont,3800    SANTA ROSALIA                DR
220412117,8/15/2022,6/3/2020,5,Hollenbeck,THEFT OF IDENTITY,34,F,K,,Invest Cont,4700    TEMPLETON                    ST
222013904,7/13/2022,7/5/2020,1640,Olympic,THEFT OF IDENTITY,70,M,W,,Invest Cont,900 S  SERRANO                      AV
220813395,8/17/2022,11/22/2020,1300,West LA,DOCUMENT FORGERY / STOLEN FELONY,63,F,W,,Invest Cont,1200    BROCKTON                     AV
220813389,8/17/2022,7/24/2020,730,West LA,THEFT OF IDENTITY,59,F,W,,Invest Cont,2200    GREENFIELD                   AV
220315349,8/17/2022,10/18/2020,2033,Southwest,SHOPLIFTING - PETTY THEFT ($950 & UNDER),19,X,X,,Invest Cont,4000 S  WESTERN                      AV
221513571,8/15/2022,8/25/2020,1200,N Hollywood,THREATENING PHONE CALLS/LETTERS,23,M,W,VERBAL THREAT,Invest Cont,11400    SUNSHINE                     TR
221611597,8/19/2022,1/1/2020,1,Foothill,THEFT OF IDENTITY,22,F,H,,Invest Cont,10200    TELFAIR                      AV
220912439,8/10/2022,12/27/2020,900,Van Nuys,INTIMATE PARTNER - AGGRAVATED ASSAULT,48,M,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,14800    OTSEGO                       ST
221513720,8/17/2022,11/8/2020,1010,N Hollywood,THEFT OF IDENTITY,27,M,W,,Invest Cont,11700    VANOWEN                      ST
220713064,8/19/2022,2/28/2020,1020,Wilshire,THEFT OF IDENTITY,31,F,B,,Invest Cont,5100 W  20TH                         ST
221218637,7/12/2022,8/1/2020,1200,77th Street,BURGLARY,38,M,W,,Invest Cont,5000    DENKER                       AV
221611890,8/30/2022,2/9/2020,1,Foothill,THEFT OF IDENTITY,23,F,H,,Invest Cont,12300    OSBORNE                      ST
221316918,9/1/2022,9/1/2020,600,Newton,VEHICLE - STOLEN,0,,,,Invest Cont,900    MCGARRY                      ST
220316030,8/30/2022,8/30/2020,1625,Southwest,THEFT OF IDENTITY,41,F,W,,Invest Cont,1000 W  23RD                         ST
221316784,8/29/2022,9/10/2020,1200,Newton,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",73,M,W,,Invest Cont,1300    NEWTON                       ST
221612433,9/15/2022,12/3/2020,800,Foothill,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",74,M,W,,Invest Cont,11800    PEORIA                       ST
231505589,2/8/2023,9/1/2020,1200,N Hollywood,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),10,F,W,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,10800    HORTENSE                     ST
220615948,9/13/2022,1/1/2020,1200,Hollywood,VIOLATION OF COURT ORDER,31,F,H,,Invest Cont,7000    LANEWOOD                     AV
221013988,9/13/2022,2/13/2020,1625,West Valley,THEFT OF IDENTITY,68,F,O,,Invest Cont,5400    YARMOUTH                     AV
221219627,9/14/2022,9/13/2020,1000,77th Street,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),44,F,H,,Invest Cont,800 W  74TH                         ST
221612373,9/14/2022,1/1/2020,1840,Foothill,THEFT OF IDENTITY,41,M,H,,Invest Cont,9800    AMBOY                        AV
221713457,9/2/2022,2/2/2020,1010,Devonshire,THEFT OF IDENTITY,38,M,B,,Invest Cont,20200    PIENZA                       LN
221014110,9/15/2022,1/4/2020,2125,West Valley,THEFT OF IDENTITY,50,M,W,,Invest Cont,19200    SHERMAN                      WY
222114709,9/26/2022,6/19/2020,600,Topanga,THEFT OF IDENTITY,42,F,B,,Invest Cont,7900    SAUSALITO                    AV
221417043,9/28/2022,12/1/2020,1,Pacific,"BUNCO, GRAND THEFT",77,M,O,,Invest Cont,3000    WESTWOOD                     BL
220814938,9/25/2022,8/22/2020,1800,West LA,SHOPLIFTING - PETTY THEFT ($950 & UNDER),42,M,W,,Invest Cont,2000    ROSCOMARE                    RD
221612872,9/30/2022,9/29/2020,1130,Foothill,BATTERY - SIMPLE ASSAULT,28,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11000    NORRIS                       AV
221818077,9/28/2022,1/1/2020,1,Southeast,ORAL COPULATION,6,F,B,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,500 W  92ND                         ST
220616628,9/19/2022,10/26/2020,1000,Hollywood,DOCUMENT FORGERY / STOLEN FELONY,71,F,H,,Invest Cont,1100    GORDON                       ST
221714096,9/27/2022,1/9/2020,1200,Devonshire,"CREDIT CARDS, FRAUD USE ($950 & UNDER",84,F,H,,Invest Cont,19300    ROMAR                        ST
221010617,6/16/2022,1/1/2020,1200,West Valley,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",36,M,W,,Invest Cont,19200    LIAM                         LN
221417121,9/29/2022,2/5/2020,1200,Pacific,THEFT OF IDENTITY,51,F,W,,Invest Cont,11500    CULVER                       BL
221515500,9/29/2022,9/1/2020,905,N Hollywood,THEFT OF IDENTITY,86,F,W,,Invest Cont,11300    OTSEGO                       ST
221819021,10/5/2022,7/31/2020,1200,Southeast,THEFT OF IDENTITY,28,F,B,,Invest Cont,2100 E  105TH                        ST
220217693,9/29/2022,1/1/2020,800,Rampart,THEFT OF IDENTITY,47,M,W,,Invest Cont,800 S  CARONDELET                   ST
221915597,10/11/2022,6/1/2020,5,Mission,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),9,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,13100    BORDEN                       AV
220715286,10/13/2022,6/1/2020,2359,Wilshire,DISTURBING THE PEACE,59,F,W,,Invest Cont,100 S  FLORES                       ST
222115311,10/12/2022,11/19/2020,1200,Topanga,THEFT OF IDENTITY,51,F,H,,Invest Cont,8400    DE SOTO                      AV
220318344,10/12/2022,1/1/2020,1200,Southwest,THEFT OF IDENTITY,55,M,H,,Invest Cont,1800 W  24TH                         ST
220917253,12/13/2022,12/21/2020,1800,Van Nuys,INTIMATE PARTNER - SIMPLE ASSAULT,20,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,VANOWEN
221115187,10/17/2022,7/1/2020,1,Northeast,THEFT OF IDENTITY,54,M,W,,Invest Cont,2500    LANGDALE                     AV
221221473,10/12/2022,1/17/2020,1,77th Street,THEFT OF IDENTITY,49,F,B,,Invest Cont,2600 W  67TH                         ST
221221507,10/6/2022,7/10/2020,1110,77th Street,THEFT OF IDENTITY,40,F,B,,Invest Cont,7400    HAAS
221715311,10/16/2022,7/11/2020,200,Devonshire,BATTERY - SIMPLE ASSAULT,30,M,O,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11700    THUNDERBIRD                  AV
221916382,11/2/2022,11/11/2020,1200,Mission,THEFT OF IDENTITY,31,F,B,,Invest Cont,15100    TAMARACK                     CT
221516921,11/2/2022,2/1/2020,1200,N Hollywood,THEFT OF IDENTITY,41,M,W,,Invest Cont,4400    CARTWRIGHT                   AV
221916426,11/2/2022,1/9/2020,1000,Mission,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",37,M,H,,Invest Cont,14600    PARTHENIA                    ST
221115990,11/7/2022,10/6/2020,1,Northeast,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),7,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,300 N  AVENUE 52
221514248,8/30/2022,8/4/2020,1430,N Hollywood,CONTEMPT OF COURT,30,F,W,VERBAL THREAT,Adult Arrest,11900    RIVERSIDE                    DR
220319411,10/31/2022,10/30/2020,2000,Southwest,PICKPOCKET,34,F,H,,Invest Cont,700    EXPOSITION                   BL
221917823,12/12/2022,4/5/2020,1550,Mission,THEFT OF IDENTITY,23,M,B,,Invest Cont,15400    EL CAJON                     ST
221418374,10/30/2022,10/30/2020,2025,Pacific,BATTERY - SIMPLE ASSAULT,22,M,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5000 S  SLAUSON                      AV
221614062,11/7/2022,2/26/2020,1200,Foothill,THEFT OF IDENTITY,48,F,H,,Invest Cont,8600    HERRICK                      AV
221916494,11/2/2022,11/2/2020,1225,Mission,EXTORTION,21,M,H,,Invest Cont,14500    LANARK                       ST
231905726,2/8/2023,1/1/2020,1,Mission,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),5,F,H,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14700    BLYTHE                       ST
221516997,11/4/2022,8/4/2020,1200,N Hollywood,THEFT OF IDENTITY,62,F,W,,Invest Cont,12800    VICTORY                      BL
220219783,11/5/2022,3/5/2020,930,Rampart,THEFT OF IDENTITY,75,F,O,,Invest Cont,400 S  BURLINGTON                   AV
220319477,10/27/2022,7/1/2020,1200,Southwest,THEFT OF IDENTITY,42,M,H,,Invest Cont,800 W  JEFFERSON                    BL
221821949,12/9/2022,3/15/2020,1100,Southeast,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0,,,,Invest Cont,10100    COURTNEY                     ST
221420220,12/10/2022,10/24/2020,1500,Pacific,THEFT OF IDENTITY,21,F,W,,Invest Cont,10100    TABOR                        ST
221615196,12/16/2022,12/1/2020,1,Foothill,THEFT OF IDENTITY,22,M,W,,Invest Cont,12100    MERCER                       ST
220717687,12/12/2022,2/12/2020,840,Wilshire,THEFT OF IDENTITY,26,M,W,,Invest Cont,400 N  FULLER                       AV
221225047,12/9/2022,12/2/2020,1535,77th Street,THEFT OF IDENTITY,29,F,B,,Invest Cont,6800    10TH                         AV
220717203,11/30/2022,3/1/2020,945,Wilshire,THEFT OF IDENTITY,54,F,J,,Invest Cont,100 N  FULLER                       AV
230406865,3/28/2023,6/28/2020,1250,Hollenbeck,THEFT OF IDENTITY,34,F,B,,Invest Cont,3400    PERCY                        ST
221225797,12/22/2022,12/22/2020,220,77th Street,VEHICLE - STOLEN,0,,,,Invest Cont,6900 S  FIGUEROA                     ST
220517340,12/23/2022,7/29/2020,2200,Harbor,THEFT OF IDENTITY,25,F,H,,Invest Cont,100 S  ARBOLES                      CT
220321001,11/29/2022,2/18/2020,2120,Southwest,THEFT OF IDENTITY,44,F,H,,Invest Cont,2700    BRIGHTON                     AV
220517192,12/19/2022,7/1/2020,2200,Harbor,BURGLARY FROM VEHICLE,53,M,H,,Invest Cont,25400    PINE CREEK                   LN
220818200,12/15/2022,1/1/2020,800,West LA,THEFT OF IDENTITY,53,M,A,,Invest Cont,1600 S  HOLT                         AV
220619815,12/1/2022,12/8/2020,1,Hollywood,THEFT OF IDENTITY,58,F,H,,Invest Cont,1500 N  FAIRFAX                      AV
220416014,12/5/2022,4/29/2020,1,Hollenbeck,THEFT OF IDENTITY,75,M,H,,Invest Cont,300 N  MATHEWS                      ST
220221184,12/5/2022,1/1/2020,1200,Rampart,THEFT OF IDENTITY,19,F,B,,Invest Cont,2600    WILSHIRE                     BL
220320024,11/9/2022,11/9/2020,1,Southwest,THEFT OF IDENTITY,24,F,H,,Invest Cont,500 W  43RD                         ST
221225134,12/13/2022,6/13/2020,1605,77th Street,THEFT OF IDENTITY,37,M,O,,Invest Cont,5300    RUTHELEN                     ST
220818171,12/15/2022,6/15/2020,1045,West LA,THEFT OF IDENTITY,29,F,O,,Invest Cont,2300    WESTWOOD                     BL
220917492,12/20/2022,3/20/2020,1100,Van Nuys,THEFT OF IDENTITY,41,F,O,,Invest Cont,6500    WOODMAN                      AV
231505624,2/9/2023,8/6/2020,1025,N Hollywood,THEFT OF IDENTITY,52,M,W,,Invest Cont,5100    COLFAX                       AV
230110144,4/4/2023,7/3/2020,900,Central,THEFT OF IDENTITY,25,M,H,,Invest Cont,1100 S  GRAND                        AV
221419817,11/2/2022,12/4/2020,1005,Pacific,THEFT OF IDENTITY,22,F,B,,Invest Cont,6900    KNOWLTON                     PL
220126052,12/8/2022,9/27/2020,1,Central,THEFT OF IDENTITY,31,M,H,,Invest Cont,600 E  5TH                          ST
221421185,12/20/2022,9/22/2020,1200,Pacific,THEFT OF IDENTITY,44,M,W,,Invest Cont,7100    ALVERN                       ST
220221510,12/8/2022,4/8/2020,1400,Rampart,THEFT OF IDENTITY,30,F,B,,Invest Cont,2600 W  7TH                          ST
221420690,11/16/2022,11/14/2020,1730,Pacific,THEFT PLAIN - PETTY ($950 & UNDER),52,M,W,,Invest Cont,1100    VENICE                       BL
221322455,12/14/2022,8/31/2020,1201,Newton,THEFT OF IDENTITY,48,F,B,,Invest Cont,5200 S  MAIN                         ST
222117263,12/1/2022,1/1/2020,1100,Topanga,THEFT OF IDENTITY,38,M,H,,Invest Cont,7300    VARIEL                       AV
221225690,12/19/2022,5/1/2020,105,77th Street,THEFT OF IDENTITY,36,F,B,,Invest Cont,5800    CRENSHAW                     BL
222019482,12/20/2022,12/20/2020,1330,Olympic,VANDALISM - MISDEAMEANOR ($399 OR UNDER),-1,X,X,,Invest Cont,1100 S  VERMONT                      AV
220815553,10/14/2022,8/10/2020,1000,West LA,THEFT OF IDENTITY,47,M,W,,Invest Cont,11700    WILSHIRE                     BL
221322193,12/9/2022,6/9/2020,2035,Newton,THEFT OF IDENTITY,39,M,B,,Invest Cont,700 E  56TH                         ST
221918167,12/20/2022,12/19/2020,1900,Mission,BURGLARY FROM VEHICLE,27,F,H,,Invest Cont,14300    TUPPER                       ST
221822190,12/14/2022,6/16/2020,920,Southeast,THEFT OF IDENTITY,45,F,B,,Invest Cont,1900 S  SANTA ANA                    BL
220718228,12/25/2022,7/21/2020,120,Wilshire,THEFT OF IDENTITY,55,F,B,,Invest Cont,1900 S  BURNSIDE                     AV
